Year N3.m01 N3.m02 N3.m03 N3.m04 N3.m05 N3.m06 N3.m07 N3.m08 N3.m09 N3.m10 N3.m11 N3.m12
1976 -1.740 -1.041 -0.250 -0.052  0.164  0.746  0.673  1.182  1.215  1.315  1.124  1.025
1977  1.211  0.699  0.584 -0.245  0.310  0.328  0.091 -0.371 -0.055  0.392  0.621  0.456
1978  0.590  0.288  0.050 -0.483 -0.282 -0.651 -0.670 -0.762 -0.500 -0.328 -0.045  0.244
1979 -0.114  0.006  0.244  0.459  0.552  0.488  0.099  0.516  1.070  0.553  0.342  0.552
1980  0.462  0.263  0.143  0.294  0.391  0.575  0.012 -0.078 -0.148 -0.338  0.181  0.497
1981 -0.525 -0.601 -0.235 -0.513 -0.035  0.008 -0.384 -0.607 -0.079  0.055 -0.139  0.246
1982  0.479  0.193  0.049  0.447  1.046  1.211  0.900  1.262  1.899  2.360  2.720  3.343
1983  3.444  2.879  2.217  1.971  2.329  2.062  1.357  1.188  0.768  0.071 -0.299 -0.274
1984 -0.490 -0.093  0.105  0.098 -0.184 -0.683 -0.495 -0.355 -0.161 -0.552 -0.585 -1.073
1985 -0.798 -0.988 -0.698 -0.490 -0.457 -0.634 -0.695 -0.621 -0.532 -0.537 -0.514 -0.543
1986 -0.677 -0.403 -0.108 -0.016  0.036  0.058  0.144  0.200  0.731  0.831  1.113  1.033
1987  1.207  1.237  1.319  1.291  1.466  1.450  1.562  1.671  1.973  1.563  1.411  1.312
1988  0.770  0.431  0.342 -0.255 -0.965 -1.568 -1.693 -1.452 -0.899 -1.339 -1.521 -1.567
1989 -1.299 -0.647 -0.829 -0.429 -0.192 -0.092 -0.137 -0.279 -0.144 -0.128 -0.133 -0.162
1990 -0.154  0.156  0.120  0.493  0.621  0.308  0.030  0.191  0.315  0.185  0.098  0.224
1991  0.279  0.168  0.215  0.232  0.925  1.199  1.077  0.655  0.454  0.903  1.287  1.559
1992  1.562  1.454  1.368  1.581  1.657  0.727  0.244 -0.024 -0.018 -0.040 -0.008  0.049
1993  0.033  0.350  0.583  1.173  1.404  0.824  0.387  0.241  0.452  0.529  0.390  0.413
1994  0.274 -0.088  0.002 -0.069  0.388  0.314 -0.201 -0.146  0.268  0.759  1.046  1.129
1995  0.938  0.684  0.234  0.014 -0.122  0.011 -0.055 -0.373 -0.415 -0.571 -0.702 -0.645
1996 -0.540 -0.481 -0.103 -0.372 -0.329 -0.238 -0.132 -0.164 -0.165 -0.205 -0.254 -0.617
1997 -0.610 -0.304  0.171  0.600  1.449  1.983  2.409  2.916  3.122  3.308  3.548  3.725
1998  3.430  2.762  2.230  1.896  1.568  0.196 -0.023  0.079 -0.127 -0.424 -0.451 -0.768
1999 -0.836 -0.522 -0.149 -0.431 -0.085 -0.396 -0.494 -0.633 -0.711 -0.809 -1.139 -1.251
2000 -1.433 -0.924 -0.455  0.061  0.029 -0.421 -0.538 -0.508 -0.226 -0.257 -0.534 -0.364
